매핑ID,단계,분류,원본_함수명,원본_위치,원본_의존성_성격,포팅_방식,현재_대표_API,현재_위치,상태,상태_의미,모델_확인_규칙,후속_작업,주의사항,근거
HFM-079,Phase 1,효과/타이밍/Hashtable,continuous effect query,"ContinuousController, permanent effect lists",Hashtable/AutoProcessing/Effect timing,역할기반_재설계,InMemoryEffectQueryService.GetContinuousEffects(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:25,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Role-specific query.
HFM-080,Phase 1,효과/타이밍/Hashtable,replacement effect query,replacement effects,Hashtable/AutoProcessing/Effect timing,역할기반_재설계,InMemoryEffectQueryService.GetReplacementEffects(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:31,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Role-specific query.
HFM-081,Phase 1,효과/타이밍/Hashtable,modifier/restriction query,modifier/restriction effects,Hashtable/AutoProcessing/Effect timing,역할기반_재설계,"InMemoryEffectQueryService.GetModifierEffects(...), GetRestrictionEffects(...)","src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:37, src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:43",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Role-specific query.
HFM-082,Phase 1,효과/타이밍/Hashtable,effect registry/factory lookup,"CardEffectFactory.cs, PermanentEffects, EffectList",Hashtable/AutoProcessing/Effect timing,계약고정_후속구현,"EffectRegistry.Register(...), GetEffects(...), Find(...)","src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:24, src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:38, src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:103",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Registry contract exists; actual card effect binding later.
HFM-083,Phase 1,효과/타이밍/Hashtable,timing window collection,trigger timing checks,Hashtable/AutoProcessing/Effect timing,계약고정_후속구현,"DefaultTimingWindowResolver.CollectTriggers(...), OpenWindow(...)","src/HeadlessDCGO.Engine/Headless/Rules/TimingWindowResolver.cs:24, src/HeadlessDCGO.Engine/Headless/Rules/TimingWindowResolver.cs:57",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Timing window contract exists.
HFM-084,Phase 1,랜덤/로그/진단,"UnityEngine.Random, GameRandom, IsSucceedProbability","GameRandom.cs, ContinuousController.cs",Unity Random/Debug.Log/PlayLog,역할기반_재설계,"IRandomSource / GameRandomSource.NextInt(...), NextDouble(), Shuffle<T>(...)","src/HeadlessDCGO.Engine/Headless/Services/IRandomSource.cs, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:36, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:55, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:60",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Seeded deterministic random source.
HFM-085,Phase 1,랜덤/로그/진단,random seed reset,ContinuousController.SetRandom style state,Unity Random/Debug.Log/PlayLog,역할기반_재설계,GameRandomSource.ResetSeed(int),src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:20,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Explicit seed control.
HFM-086,Phase 1,랜덤/로그/진단,"Debug.Log, Debug.LogWarning, Debug.LogError",Unity console calls,Unity Random/Debug.Log/PlayLog,역할기반_재설계,"ILogSink.Info(...), Warn(...), Error(...)",src/HeadlessDCGO.Engine/Headless/Services/ILogSink.cs,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Plain log abstraction.
HFM-087,Phase 1,랜덤/로그/진단,optional no-op logging,client-only log side effects,Unity Random/Debug.Log/PlayLog,역할기반_재설계,"NullLogSink.Info(...), Warn(...), Error(...)","src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:5, src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:9, src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:13",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Removes log side effects.
HFM-088,Phase 1,랜덤/로그/진단,capture logs for tests,Unity console / PlayLog output,Unity Random/Debug.Log/PlayLog,역할기반_재설계,"InMemoryLogSink.Info(...), Snapshot(), Clear()","src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:10, src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:25, src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:30",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Testable log collection.
HFM-089,Phase 1,랜덤/로그/진단,PlayLog.OnAddLog,PlayLog.cs,Unity Random/Debug.Log/PlayLog,역할기반_재설계,EngineTrace.Record(...),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:22,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Structured deterministic trace.
HFM-090,Phase 1,랜덤/로그/진단,trace snapshot,UI log panel state,Unity Random/Debug.Log/PlayLog,역할기반_재설계,EngineTrace.Snapshot(),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:44,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Replay/debug inspection.
HFM-091,Phase 1,랜덤/로그/진단,deterministic trace hash,parity/debug comparison,Unity Random/Debug.Log/PlayLog,역할기반_재설계,EngineTrace.Fingerprint(),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:49,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Stable comparison surface.
HFM-092,Phase 1,네트워크/클라이언트 전용,"PhotonNetwork, PhotonView, [PunRPC], Room, Player network callbacks",Photon/PUN usage under Unity client,Photon/RPC/클라이언트 전용 기능,계약고정_후속구현,"SessionContext, HeadlessActionQueue, GameEvent","src/HeadlessDCGO.Engine/Headless/Runtime/SessionContext.cs, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs, src/HeadlessDCGO.Engine/Headless/Runtime/GameEvent.cs",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,현재 API는 계약으로 인정한다. 실제 룰/카드 효과의 완전 구현 여부는 후속 Phase/Goal 문서에서 별도로 확인한다.,후속 Phase에서 실제 게임 룰/카드 효과 의미를 이 계약 위에 구현한다.,계약 완료와 세부 룰 구현 완료를 혼동하지 말 것.,Local deterministic session/action/event model replaces network transport in core.
HFM-093,Phase 1,네트워크/클라이언트 전용,RPC action sync,Photon RPC methods,Photon/RPC/클라이언트 전용 기능,역할기반_재설계,HeadlessActionQueue.Enqueue(...) / ReplayActionRecord.Serialize(),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:15, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:133",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,현재_위치 파일을 열어 현재_대표_API가 존재하는지 확인한다. 원본 함수명과 달라도 역할이 같으면 정상 매핑이다.,현재 API를 사용해 후속 포팅을 진행한다. 필요 시 테스트만 보강한다.,동일 함수명이 아니어도 누락으로 보지 말 것.,Replay metadata replaces RPC dependency for deterministic runs.
HFM-094,Phase 1,네트워크/클라이언트 전용,"TextMeshPro, UnityEngine.UI, DOTween, Animator, AudioSource, Camera, VFX calls",visual/client scripts,Photon/RPC/클라이언트 전용 기능,제외,no gameplay replacement; use UnityNullObjectPolicy only when encountered during migration,src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs,EXCLUDED,제외: 시각/UI/클라이언트 전용이라 Headless 런타임에 넣지 않음,Headless core에 구현하지 않는 것이 올바른 상태다. 게임 상태 영향이 새로 발견될 때만 별도 매핑을 만든다.,포팅하지 않는다. 문서상 제외 근거만 유지한다.,시각/UI/오디오/카메라 기능을 Headless runtime에 넣지 말 것.,These must not become Headless runtime dependencies.
HFM-095,Phase 1,네트워크/클라이언트 전용,WebSocketSharp transport,network/client transport,Photon/RPC/클라이언트 전용 기능,제외,none in core engine,N/A,EXCLUDED,제외: 시각/UI/클라이언트 전용이라 Headless 런타임에 넣지 않음,Headless core에 구현하지 않는 것이 올바른 상태다. 게임 상태 영향이 새로 발견될 때만 별도 매핑을 만든다.,포팅하지 않는다. 문서상 제외 근거만 유지한다.,시각/UI/오디오/카메라 기능을 Headless runtime에 넣지 말 것.,"Future remote runner, if needed, belongs outside core engine."
